Price.Index.Opening.Value,Price.Index.Max.Value,Price.Index.Min.Value,Price.Index.End.Value,Traded.Volume,Traded.Amount
52825.02,53368.16,52410.14,53368.16,2243034705.06,851977088
53368.16,54431.86,53368.16,54115.05,2860843326.56,965246677
54115.05,54626.43,53765.12,54547.36,2463831524.91,966721133
54547.36,54972.94,54019.63,54972.94,2776943263.25,988927482
54972.94,55711.55,54575.53,54797.9,2979052581.81,999405507
54797.9,55347.38,53757.69,53921.06,2674224251.01,902115280
53921.06,54253.56,53478.15,53676.35,1984801271.15,654357575
53676.35,54713.09,53345.17,54627.19,2598442926,797473344
54627.19,55265.67,54460.34,54740.6,2559477111.89,793997759
54740.6,54779.3,53620.04,54005.65,2667169335.05,881283613
54005.65,54593.5,53864.24,54550.83,1747740622,556593777
54550.83,55206.75,54027.07,55159.6,2455919934.65,840663456
55159.6,55911.48,54850.99,55469.2,3137466002.64,895372793
55469.2,55830.79,55097.57,55301.18,2295277539.12,644557120
55301.18,55301.18,53476.6,53997.49,2127937798.51,651117862
53997.49,54360.87,53586.51,54281,1761846558.88,575866938
54281,54317.48,53149.01,54317.48,2074143676.26,598617358
54317.48,54969.21,53875.28,54071.02,2517851508.55,1010904417
54071.02,55100.87,54071.02,54770.45,2286014599.39,850160492
54770.45,54985.12,53906.42,54650.58,2276135811.44,781309438
54650.58,55526.01,54492.35,55526.01,2591468786.52,1008481545
55526.01,55653.46,54854.39,55147.64,1872289831.2,692974089
55147.64,55734.66,54926.3,55068.7,2069589272.37,692318720
55068.7,55068.7,53217.12,53463.88,2322025415.94,879803826
53463.88,53463.88,51089.26,51454.89,3190074069.27,1297024279
51454.89,51832.95,49432.48,49933.38,2461908361.5,765301595
49933.38,51151.55,49933.38,50826.36,1962283097.72,653914527
50826.36,51715.83,50314.1,50567.5,2033896224.68,731490598
50567.5,51577.26,50567.5,51381.04,1701006134.71,613129235
51381.04,52024.48,50702.37,51063.82,1783203699.78,571565027
51063.82,51576.26,50959.01,51334.42,1579139130.79,529503383
51334.42,52006.83,51210.54,51748.5,1522493950.28,489365603
51748.5,53273.3,51748.5,53273.3,2403469776.41,756287070
53273.3,53273.3,52085.1,52449.79,1835814064.3,561898248
52449.79,53318.97,51298.22,53318.97,2395370469.61,632623430
53318.97,54110.26,52326.81,52592.88,2031887624.32,560585101
52592.88,53154.05,51180.88,51416.56,2224249974.65,506301181
51416.56,51416.56,48691.32,49659.56,2696708070.11,732331219
49659.56,50645.46,48080.16,48739.43,3026119283.44,801325559
48739.43,50008.39,48447.32,49705.49,2232974847.92,589458847
49705.49,51184.85,49705.49,51183.73,2154379845.42,645605213
51183.73,51891.05,50847.25,51476.11,1990672556.06,572542442
51476.11,51855.35,50913.81,51699.05,1888028125.04,519143206
51699.05,51699.06,51056.25,51440.71,1645697190.56,489315579
51440.71,52625.63,51440.71,52625.63,1979207749.71,570018687
52625.63,53296.54,52528.74,53296.54,2013533274.68,566155487
53296.54,53562.14,52193.32,52959.96,1901348015.93,529745604
52959.96,52989.12,52135.1,52753,1601158279.51,430026252
52753,52995.8,52036.49,52376.55,1249973811.19,408843019
52376.55,52887.98,51962.16,52232.99,1264580911.26,358308912
52232.99,52369.41,51780.85,51971.37,970507871,312326016
51971.37,53270.52,51971.37,53233.26,1704586347.44,603599469
53233.26,54315.23,53233.26,54303.66,1853827288.78,585411655
54303.66,54303.66,53281.8,53534.39,1777207319.76,562086464
53534.39,53945.89,53212.34,53436.96,1381125044.15,454429455
53436.96,53892.39,53063.43,53892.39,1795884962.87,605270878
53892.39,54642.76,53892.39,54351.7,1684834981.5,562851377
54351.7,55360.15,54269.08,55136.6,2920132640.3,983008660
55136.6,57044.66,55136.6,57044.66,2655855174.38,812073061
57044.66,57645.35,56198.32,56610.66,2325284176.59,654384355
56610.66,57338.61,56244.68,56668.2,1540380029.56,568745047
56668.2,57121.32,56454.53,56754.41,1731472657.8,684653533
56754.41,57567.4,56303.03,56538.37,2623819592.27,755283978
56538.37,57708.21,56538.37,57708.21,1865840473.34,579902805
57708.21,58383.65,57642.32,58059.86,1284617282.87,444458027
58059.86,58896.62,58059.86,58644.98,1361864077.6,445421719
58644.98,58763.11,57752.14,58406.36,1655324230.83,457663636
58406.36,58681.07,58013.26,58645.61,1763128426.76,570972664
58645.61,58645.61,57905.89,58412.05,1841962030.73,625361785
58412.05,59592.87,58412.05,59185.3,2237854913.24,746383373
59185.3,59720.36,58574.51,58821.64,1706200995.61,631473619
58821.64,58967.27,57759.01,58075.39,1709020363.98,523909447
58075.39,59330.34,58075.39,59330.34,1760936703.63,705151264
59330.34,59771.82,58623.85,59055.09,2061020030.25,873666252
59055.09,59201.32,57946.94,58223.53,2302125875.05,1100223857
58223.53,58291.63,56770.58,58153.03,1965151685.05,732228206
58153.03,59070.32,58153.03,58886.09,2140886188.2,692151264
58886.09,59482.67,58161.41,58450.85,1918742348.93,686574681
58450.85,58936.81,57814.29,58338.36,2129496875.51,612809986
58338.36,59526.07,58338.36,59043.16,1993353064.49,637890316
59043.16,59043.16,58017.7,58217.4,2002755721.89,566054447
58217.4,58217.4,56867.01,57933.09,2542395047.69,713596402
57933.09,58760.13,57899.42,58702.82,2201194153.96,564687113
58702.82,59285.16,57988.79,58959.1,2597425994.73,618498942
58959.1,58996.85,58305.32,58400.21,1938833822.7,573054983
58400.21,58861.1,56862.19,57341.03,2331077602.13,692900134
57341.03,57587.34,56112.15,56441.12,2368041298.98,664947786
56441.12,56809.01,55595.42,55763.57,2097730736.44,524134124
55763.57,55763.57,52570.52,52686.97,2978974047.43,885779012
52686.97,56585.89,52686.97,56448,2653823734.26,716638635
56448,56519.24,55460.73,56461.72,2176178572.2,562444901
56461.72,58044.62,56461.72,57976.46,2618844942.66,743347563
57976.46,58708.83,57387.3,57929.65,2277410891.96,680979440
57929.65,58036.1,55590.23,55747.88,2162274785.96,642201766
55747.88,56116.99,54507.22,56071.09,1809186570.74,590992886
56071.09,57061.98,56071.09,56978.25,1810590117.4,557260193
56978.25,56978.25,54248.2,54449.88,2313561324.43,674854422
54604.1,54989.35,53365.2,54111.6,2658173560.18,847960000
54431.22,54992.77,53761.47,54558.16,1811991782.64,551120000
53200.79,53292.31,51757.2,52257.07,2173128991.34,606480000
53023.19,54251.34,52404.66,54103.5,2240245734.84,694200000
53946.93,54583.24,53885.81,54497.95,2023675722.3,786620000
55075.77,55467.09,54666.9,55233.68,1939471749.1,750620000
54237.76,54536.51,53888.6,54384.94,1243566781.87,531350000
54196.6,54520.43,53287.09,54460.36,1654431566.95,583020000
54123.24,55241.81,53942.64,55212.5,2119238528.54,742180000
56143.05,56390.97,55275.17,55407.21,1974601083.23,686460000
55394.65,55749.21,54136.45,54612.93,1762671670.31,569720000
53376.49,54408.12,53205.91,54306.63,1421659813.65,425320000
54408.95,54755.23,53392.6,53664.36,1746554398.94,553550000
54065.06,54456.8,53393.38,54304.92,1426710640.68,438730000
54194.59,55066.53,53772.76,54861.83,1493947031.93,465810000
55185.87,55416.13,54583.39,55131.63,1261025557.92,378190000
55667.58,55962.45,55160.23,55688.81,1117740761.15,340220000
55248.04,56510.36,55194.72,56421.32,1497343071.45,485270000
56881,57080.44,56064.01,56402.91,1384459538.98,428340000
56471.71,57641.81,56378.52,56891.01,1615475017.23,483690000
57122.23,57455.45,56576.96,57034.47,1209020087.39,398330000
57780.43,57789.4,56675.16,57277.18,1234478941.02,365750000
56646.82,57213.4,56493.12,57007.01,1086116885.35,306940000
56718.02,56798.11,55620.63,55906.38,1139135716.7,321820000
56157.64,56375.47,55344.33,55915.67,996868955.25,301710000
55813.85,56264.19,55637.09,55864.24,906532951.53,269260000
56058.28,56676.51,55960.45,56433.12,930981790,275880000
56020.09,56191.06,54926.78,55215.32,1195990248.59,320470000
55328.33,55904.89,54536.63,54839.46,1345451218.19,311160000
54237.68,54887.82,53911.38,54534.28,1314637435.6,343460000
54868.14,55636.45,54696.13,55636.45,1187520919.52,316140000
55714.34,56067.82,55488.43,55715.5,859639057.82,204690000
55983.22,56875.15,55926.77,56787.75,1621972838.51,437960000
56455.88,56928.84,55967.53,56798.55,1310618286.05,342100000
57424.96,57623.54,57056.1,57345.59,1511114537.65,387420000
57615.31,57751.01,56561.22,57150.9,1297079016.69,290220000
57199.35,57605.54,56658.46,57569.84,1171247799.17,324040000
57497.18,58435.76,57252.79,58278.67,1754044411.29,490050000
58737.11,58817.13,58051.1,58301.34,1435816949.23,416200000
58213.34,59065.79,57481.81,57689.93,1811146332.48,495950000
57840.95,58634.95,57674.76,57729.36,1411768295.69,349870000
57392.52,58435.78,57392.52,58114.43,1104792907.72,321440000
58459.71,58847.43,57511.68,58227.81,1317015215.11,336390000
58585.04,59653.43,58468.38,59494.67,1662881374.14,435500000
59303.61,60112.01,59303.61,59919.48,1801580335.84,442840000
59968.98,60141.63,59008.66,59299.53,1314933330.28,333050000
59570.81,59603.19,58961.69,59507.68,1106719916.79,279170000
